paper_id,filename,relative_path,size_bytes,modified_utc,sha256
P001,18326cnc05.pdf,18326cnc05.pdf,4539906,2026-09-02T19:37:01+00:00,5393cb0315fc692295999fdc1180cc49e4af504bbbed43ac0992542192083265
P002,1s2_0S156849462600428Xmain.pdf,1s2_0S156849462600428Xmain.pdf,2651112,2026-09-02T19:37:01+00:00,4d170505d51d5acdaaa92c6da06a11d703d7a0410c22fe5c3d97887e10075ea4
P003,A_Deployable_Edge_Computing_Solution_for_Machine_Condition_Monitoring.pdf,A_Deployable_Edge_Computing_Solution_for_Machine_Condition_Monitoring.pdf,1761747,2026-09-02T19:37:01+00:00,3869d37eb17c23605bc9f56c754accf94fd98cb5b1470959138cdafc69527c53
P004,applsci1501702v2.pdf,applsci1501702v2.pdf,3616204,2026-09-02T19:37:01+00:00,c759982e2b3c39f33019b13e2cb075ee988f66a6c4748917fb4c54423d527f81
P005,Aragonés_et_al___2025__Transforming_Industrial_Maintenance_with_Thermoelectric_Energy_Harvesting_and_NBIoT_A_Case_Study_i.pdf,Aragonés_et_al___2025__Transforming_Industrial_Maintenance_with_Thermoelectric_Energy_Harvesting_and_NBIoT_A_Case_Study_i.pdf,3716716,2026-09-02T19:37:01+00:00,01310ebed5e7c188e2a3e4fe49b5b1dd2713e55a0f1358ca3b49bb5fdb4250f8
P006,Banerjee_et_al___2026__OnDevice_LowFrequency_Mechanical_Fault_Detection_of_Induction_Motors_using_MEMS_Sensors_and_Edge_A.pdf,Banerjee_et_al___2026__OnDevice_LowFrequency_Mechanical_Fault_Detection_of_Induction_Motors_using_MEMS_Sensors_and_Edge_A.pdf,1239678,2026-09-02T19:37:01+00:00,3566770d85725f31e1970dcb7889fd42f74f341a2e24d8e623e76d361cf7c73b
P007,Bhoi_et_al___2022__Advanced_Edge_Computing_Framework_for_Grid_Power_Quality_Monitoring_of_Industrial_Motor_Drive_Applic.pdf,Bhoi_et_al___2022__Advanced_Edge_Computing_Framework_for_Grid_Power_Quality_Monitoring_of_Industrial_Motor_Drive_Applic.pdf,1124991,2026-09-02T19:37:01+00:00,1c930d6d36d7c2016dc1ca54542e6b2fcb55d76403c913914636fa02343cfaea
P008,De_las_Morenas_y_MoyaFernández__2022__Predictive_Maintenance_in_Electrical_Machines_An_Edge_Computing_Approach.pdf,De_las_Morenas_y_MoyaFernández__2022__Predictive_Maintenance_in_Electrical_Machines_An_Edge_Computing_Approach.pdf,1581297,2026-09-02T19:37:01+00:00,47535d3853cec940d0713dee39dd95ecb03a851f92bd16435c6a10b0f03ca166
P009,EchChadi_et_al___2025__A_New_Framework_Based_on_FOG_Computing_and_Edge_AI_to_Increase_the_Reliability_of_Predictive_Mainten.pdf,EchChadi_et_al___2025__A_New_Framework_Based_on_FOG_Computing_and_Edge_AI_to_Increase_the_Reliability_of_Predictive_Mainten.pdf,995744,2026-09-02T19:37:01+00:00,e170e89437a3d3c92f88462aeff4880c9624e3f4c989a63cdf031717112ea370
P010,ElSayed__2025__Feature_Reduction_of_SVMBased_Classifier_For_Predictive_Maintenance_OF_Rotating_Machines.pdf,ElSayed__2025__Feature_Reduction_of_SVMBased_Classifier_For_Predictive_Maintenance_OF_Rotating_Machines.pdf,1093266,2026-09-02T19:37:01+00:00,984f8bb63d660c0faf76454234ce19cb25839302cffd30eca51f9422b75855cb
P011,Fan_et_al___2025__Cloud_Edge_Collaborative_Intelligent_Fault_Diagnosis_of_RotorBearing_System_Methodology_and_Experi.pdf,Fan_et_al___2025__Cloud_Edge_Collaborative_Intelligent_Fault_Diagnosis_of_RotorBearing_System_Methodology_and_Experi.pdf,3927454,2026-09-02T19:37:01+00:00,43a73408dea4a28d32877797886f8e3ff74ca576c6bb0ea59a18033710f75751
P012,fenrg08584463.pdf,fenrg08584463.pdf,2518267,2026-09-02T19:37:01+00:00,d746b2a086474d731c59d72c6e6af71e712a3d6c506195cdcc2a79456acf7ac5
P013,G_et_al___2025__Enhance_Predictive_Maintenance_with_AI_Models_Utilizing_RealTime_Sensor_Data_with_Industrial_IoT_t.pdf,G_et_al___2025__Enhance_Predictive_Maintenance_with_AI_Models_Utilizing_RealTime_Sensor_Data_with_Industrial_IoT_t.pdf,1568356,2026-09-02T19:37:01+00:00,c8f9cb00a0423ddff142ff5397fe7f30a75779721b816b02fb06fd313238c239
P014,Hu_et_al___2022__An_Intelligent_Anomaly_Detection_Method_for_Rotating_Machinery_Based_on_Vibration_Vectors.pdf,Hu_et_al___2022__An_Intelligent_Anomaly_Detection_Method_for_Rotating_Machinery_Based_on_Vibration_Vectors.pdf,3260389,2026-09-02T19:37:01+00:00,66b2d4634e21281208f7b8c13be20f1ae5eade1bdfa8b65d4cc9c17f536f041d
